productCd,countryCd,label,PV?,,,,,,
85414029,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: montados, excepto las células fotovoltaicas en modulos o paneles : los demás",,,,,,,
85414031,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: células fotovoltaicas en modulos o paneles : fotodiodos,,,,,,,
85414032,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: células fotovoltaicas en modulos o paneles : células solares,,,,,,,
85414039,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: células fotovoltaicas en modulos o paneles : las demás,,,,,,,
8541401000,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541401001,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
8541401002,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
8541401004,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
8541401006,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
8541401008,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
8541401009,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
8541401100,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541401900,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409000,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409001,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409009,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409300,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409900,Armenia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414000,Aruba,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes: photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in m",,,,,,,
85414010,Aruba,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) Description not available on 8 digits",,,,,,,
85414090,Aruba,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) Description not available on 8 digits",,,,,,,
85414000,Australia,Photosensitive semi-conductor devices (including photovoltaic cells); light-emitting diodes (LED),Yes,,,,,,
8541400053,Australia,Assembled solar arrays and solar cells,,,,,,,
8541400054,Australia,"Light emitting diodes (LED), LED displays, optocouplers, photosensitive transistors and diodes, infra-red and fibre optic emitters and detectors",,,,,,,
8541400055,Australia,"Photosensitive semiconductor devices, incl. photovoltaic cells (excl. light emitting diodes(LED), LED displays, optocouplers, photosensitive transistors & diodes, infra-red & fibre optic emitters & detectors, assembled solar arrays/solar cells",,,,,,,
8541400071,Australia,"White light producing light-emitting diodes (LED), including LED chips, LED chip on board (COB), LED packages & LED assemblies (excl. an element for the purpose of providing power supply or power control), having a power rating not > 1 W",,,,,,,
8541400072,Australia,"White light producing light-emitting diodes (LED), incl. LED chips, LED chip on board (COB), LED packages & LED assemblies (excl an element for the purpose of providing power supply or power control), having power rating > 1 W but not > 5 W",,,,,,,
8541400073,Australia,"White light producing light-emitting diodes (LED), incl. LED chips, LED chip on board (COB), LED packages & LED assemblies (excl an element for the purpose of providing power supply or power control), having power rating > 5 W but not > 10 W",,,,,,,
8541400074,Australia,"White light producing light-emitting diodes (LED), including LED chips, LED chip on board (COB), LED packages & LED assemblies (excl. an element for the purpose of providing power supply or power control), having a power rating > 10 W",,,,,,,
8541400080,Australia,"Other light-emitting diodes (LED), LED displays, optocouplers, photosensitive transistors and diodes, infra-red and fibre optic emitters and detectors (excluding 8541400071 to 8541400074)",,,,,,,
8541400090,Australia,"Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels (excluding 8541400053 to 8541400080)",,,,,,,
8541400000,Austria,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414010,Austria,"Light-emitting diodes, incl. laser diodes",,,,,,,
8541401000,Austria,"LIGHT-EMITTING DIODES, INCL. LASER DIODES",,,,,,,
85414090,Austria,"Photosensitive semiconductor devices, incl. photovoltaic cells",,,,,,,
8541409000,Austria,"PHOTOSENSITIVE SEMICONDUCTOR DEVICES, INCL. PHOTOVOLTAIC CELLS",,,,,,,
85414000,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",Yes,,,,,,
85414010,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
854140100,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators): light emitting diodes, including laser diods",,,,,,,
8541401000,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators): light emitting diodes, including laser diods",,,,,,,
85414019,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414090,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
854140900,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators): other",,,,,,,
8541409000,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators): other",,,,,,,
85414093,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414099,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414000,Bahamas,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators)",Yes,,,,,,
8.54E+11,Bahamas,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
85414010,Bahamas,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels ; light emitting diodes : photovoltaic cells (solar panels)",,,,,,,
8.54E+11,Bahamas,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels ; light emitting diodes : photovoltaic cells (solar panels)",,,,,,,
85414090,Bahamas,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels ; light emitting diodes : other",,,,,,,
8.54E+11,Bahamas,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels ; light emitting diodes : other",,,,,,,
85414000,Bahrain,Photosensitive semi-conductor devices,?,,,,,,
85414000,Bangladesh,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",Yes,,,,,,
85414010,Bangladesh,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): Photosensitive semi conductor devices, including Photovoltaic cells, whether or not assembled in modules or made up into panels; light emitting diodes: Photovoltaic cells, whether or not assembled in modules or made up into panels",,,,,,,
85414090,Bangladesh,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): Photosensitive semi conductor devices, including Photovoltaic cells, whether or not assembled in modules or made up into panels; light emitting diodes: Other",,,,,,,
8541400000,Barbados,Photosensitive semiconductor devices and light emitting diodes,,,,,,,
8541401000,Belarus,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): light emitting diodes,including laser diodes",,,,,,,
8541401100,Belarus,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541401900,Belarus,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409000,Belarus,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): other",,,,,,,
8541409001,Belarus,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): No description at level 10",,,,,,,
8541409009,Belarus,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): No description at level 10",,,,,,,
8541409300,Belarus,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409900,Belarus,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541400000,Belgium,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414010,Belgium,"Light-emitting diodes, incl. laser diodes",,,,,,,
8541401000,Belgium,"LIGHT-EMITTING DIODES, INCL. LASER DIODES",,,,,,,
85414090,Belgium,"Photosensitive semiconductor devices, incl. photovoltaic cells",,,,,,,
8541409000,Belgium,"PHOTOSENSITIVE SEMICONDUCTOR DEVICES, INCL. PHOTOVOLTAIC CELLS",,,,,,,
85414000,Belize,"Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes.",Yes,,,,,,
8541400000,Belize,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
85414010,Belize,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541401000,Belize,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414090,Belize,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409000,Belize,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541400000,Benin,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
8541401000,Benin,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): solar cells whether or not in modules or made up into panels",,,,,,,
8541409000,Benin,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): other",,,,,,,
8541400,Bermuda,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",Yes,,,,,,
85414000,Bermuda,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators)",Yes,,,,,,
85414000,Bhutan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",Yes,,,,,,
8541401000,"Bolivia, Plurinational State of","Dispositivos semiconductores fotosensibles: celulas fotovolticas,aunque esten ensambladas en modulos o paneles",,,,,,,
8541409000,"Bolivia, Plurinational State of","Los demas dispositivos semiconductores fotosensibles,incluidas las celulas fotovoltaicas,aunque esten ensambladas en modulos o paneles,diodos emisores de luz",,,,,,,
85414010,Bosnia and Herzegovina,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes: Light-emitting diodes, including laser diodes",,,,,,,
85414011,Bosnia and Herzegovina,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414090,Bosnia and Herzegovina,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes: Other",,,,,,,
85414091,Bosnia and Herzegovina,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
854140XX,Bosnia and Herzegovina,Trade borken down at the 6-digit level,,,,,,,
85414000,Botswana,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators)",,,,,,,
85414010,Botswana,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): photo-voltaic cells  whether or not assembled in modules or made up into panels",,,,,,,
85414020,Botswana,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): light emitting diodes",,,,,,,
85414090,Botswana,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): other",,,,,,,
85414011,Brazil,"Light-emitting diodes (led) n/mounted,exc.laser",,,,,,,
85414012,Brazil,Laser diodes n/mounted,,,,,,,
85414013,Brazil,Photo-diodes not mounted,,,,,,,
85414014,Brazil,Photo-transistors not mounted,,,,,,,
85414015,Brazil,Photo-thyristors not mounted,,,,,,,
85414016,Brazil,Solar cells not mounted,,,,,,,
85414018,Brazil,Other solar cells not mounted,,,,,,,
85414019,Brazil,Oth.photosensitive semiconductor devices n/mounted,,,,,,,
85414021,Brazil,"Light-emitting diodes (led) mounted,f/surf.mount.device",,,,,,,
85414022,Brazil,"Oth.light-emitting diodes (led) n/mounted,exc.laser",,,,,,,
85414023,Brazil,Laser diodes with wavelength 1300mm or 1500mm,,,,,,,
85414024,Brazil,Other laser diodes,,,,,,,
85414025,Brazil,Photo-diodes/photo-transistors/photo-thyristors mounted,,,,,,,
85414026,Brazil,Photo-resistors mounted,,,,,,,
85414027,Brazil,"Optic couplers,for surface mounted device (smd)",,,,,,,
85414029,Brazil,Oth.photosensitive semiconductor device mounted,,,,,,,
85414031,Brazil,Photo-diodes in modules or panels,,,,,,,
85414032,Brazil,Solar cells in modules or panels,,,,,,,
85414039,Brazil,Other photovoltaic cells in modules or panels,,,,,,,
854140000,Brunei Darussalam,Other photosensitive semiconductor devices incl photovoltaic cells (u),,,,,,,
8541400000,Brunei Darussalam,Other photosensitive semiconductor devices incl photovoltaic cells (u),,,,,,,
85414010,Brunei Darussalam,Light emitting diodes (u),,,,,,,
8541401000,Brunei Darussalam,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414020,Brunei Darussalam,"Photocells, incl photodiodes & phototransistors (u)",,,,,,,
8541402000,Brunei Darussalam,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414021,Brunei Darussalam,"Photovoltaic cells, not assembled (u)",,,,,,,
8541402100,Brunei Darussalam,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414022,Brunei Darussalam,Photovoltaic cells assembled in modules or made up into panels (u),,,,,,,
8541402200,Brunei Darussalam,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414029,Brunei Darussalam,"Photocells, including photodiodes and phototransistors (u)",,,,,,,
8541402900,Brunei Darussalam,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414090,Brunei Darussalam,Other photosensitive semiconductor devices (u),,,,,,,
8541409000,Brunei Darussalam,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541409900,Brunei Darussalam,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541400000,Bulgaria,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85414010,Bulgaria,"Light-emitting diodes, incl. laser diodes",,,,,,,
8541401000,Bulgaria,"LIGHT-EMITTING DIODES, INCL. LASER DIODES",,,,,,,
85414090,Bulgaria,"Photosensitive semiconductor devices, incl. photovoltaic cells",,,,,,,
8541409000,Bulgaria,"PHOTOSENSITIVE SEMICONDUCTOR DEVICES, INCL. PHOTOVOLTAIC CELLS",,,,,,,
8541400000,Burkina Faso,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
8541400001,Burkina Faso,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
85414010,Burkina Faso,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): photopiles, cellules solaires et similaires",,,,,,,
8541401000,Burkina Faso,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): cellules solaires meme assemblees en modules ou non, ou constituees en panneaux",,,,,,,
85414090,Burkina Faso,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): dispositifs photosensibles à semi-conducteur, y,c, les cellules photovoltaiques même assemblées en modules ou constituées en panneaux",,,,,,,
8541409000,Burkina Faso,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators): autres dispositifs photosensibles a semi-conducteur...",,,,,,,
85414000000,Burundi,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes; mounted piezo-electric crystals: Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes",,,,,,,
85414010000,Burundi,Eléments de piles solaire et modules solaires équipés ou non d'élts comme diodes,,,,,,,
85414090000,Burundi,Dispositif photosensible à semi-conducteur sauf 85414010;diodes émettrices de lumière,,,,,,,
85414000,Côte d'Ivoire,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
85414010,Côte d'Ivoire,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques): cellules solaires même assemblées en modules ou non, ou constituées en panneaux",,,,,,,
8541401000,Côte d'Ivoire,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques): cellules solaires même assemblées en modules ou non, ou constituées en panneaux",,,,,,,
85414090,Côte d'Ivoire,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques): autres",,,,,,,
8541409000,Côte d'Ivoire,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques): autres",,,,,,,
8541400000,Cabo Verde,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
8541400010,Cabo Verde,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): Photovoltaic cells mounted in pannels",,,,,,,
